SRX13006718	CTCF	Cardiovascular	Left ventricle	sample_type=tissue	tissue=left ventricle myocardium inferior	dev stage=adult	age=60 year	donor ID=ENCDO520EJG	health state=DM: no; HTN: yes; CAD: no; lungs with severe emphysema								
SRX13006719	CTCF	Cardiovascular	Left ventricle	sample_type=tissue	tissue=left ventricle myocardium inferior	dev stage=adult	age=60 year	donor ID=ENCDO520EJG	health state=DM: no; HTN: yes; CAD: no; lungs with severe emphysema								
SRX13006720	CTCF	Cardiovascular	Left ventricle	sample_type=tissue	tissue=left ventricle myocardium inferior	dev stage=adult	age=60 year	donor ID=ENCDO520EJG	health state=DM: no; HTN: yes; CAD: no; lungs with severe emphysema								
SRX13006721	CTCF	Cardiovascular	Left ventricle	sample_type=tissue	tissue=left ventricle myocardium inferior	dev stage=adult	age=60 year	donor ID=ENCDO520EJG	health state=DM: no; HTN: yes; CAD: no; lungs with severe emphysema								
SRX13006771	CTCF	Cardiovascular	Right ventricle	tissue=heart right ventricle	sample type=tissue	dev_stage=adult	age=73 year	donor ID=ENCDO804CLC	"health state=ischemic (EF 35%, LVEDD 5.7; RV mildly dilated, moderate dysfunction)"								
SRX13006772	CTCF	Cardiovascular	Right ventricle	tissue=heart right ventricle	sample type=tissue	dev_stage=adult	age=73 year	donor ID=ENCDO804CLC	"health state=ischemic (EF 35%, LVEDD 5.7; RV mildly dilated, moderate dysfunction)"								
SRX13007592	CTCF	Cardiovascular	Right ventricle	tissue=heart right ventricle	sample type=tissue	"health state=ischemic (EF 29% LVEDD 5.4; RV normal size, mild dysfunction)"	dev stage=adult	age=66 year	donor ID=ENCDO926KEV								
SRX13007593	CTCF	Cardiovascular	Right ventricle	tissue=heart right ventricle	sample type=tissue	"health state=ischemic (EF 29% LVEDD 5.4; RV normal size, mild dysfunction)"	dev stage=adult	age=66 year	donor ID=ENCDO926KEV								
SRX13007648	CTCF	Cardiovascular	Left ventricle	tissue=heart left ventricle	sample type=tissue	dev_stage=adult	age=43 year	donor ID=ENCDO967KID	"health state=nonischemic (EF 23%, LVEDD 6.1; RV moderate dilation, normal function)"								
SRX13007981	CTCF	Cardiovascular	Right ventricle	tissue=heart right ventricle	sample type=tissue	"health state=ischemic (EF 25% LVEDD 5.7; RV mildly dilated, moderate dysfunction)"	dev stage=adult	age=69 year	donor ID=ENCDO477WED								
SRX13007982	CTCF	Cardiovascular	Right ventricle	tissue=heart right ventricle	sample type=tissue	"health state=ischemic (EF 25% LVEDD 5.7; RV mildly dilated, moderate dysfunction)"	dev stage=adult	age=69 year	donor ID=ENCDO477WED								
SRX13007993	CTCF	Cardiovascular	Right ventricle	tissue=heart right ventricle	sample type=tissue	dev_stage=adult	age=61 year	donor ID=ENCDO808ASZ	"health state=nonischemic (EF 11% LVEDD 7.7; RV severe dilation, severe dysfunction)"								
SRX13007994	CTCF	Cardiovascular	Right ventricle	tissue=heart right ventricle	sample type=tissue	dev_stage=adult	age=61 year	donor ID=ENCDO808ASZ	"health state=nonischemic (EF 11% LVEDD 7.7; RV severe dilation, severe dysfunction)"								
SRX13008747	CTCF	Cardiovascular	Left ventricle	tissue=heart left ventricle	sample type=tissue	"health state=ischemic (EF 35%, LVEDD 5.7; RV mildly dilated, moderate dysfunction)"	dev stage=adult	age=73 year	donor ID=ENCDO804CLC								
SRX13008748	CTCF	Cardiovascular	Left ventricle	tissue=heart left ventricle	sample type=tissue	"health state=ischemic (EF 35%, LVEDD 5.7; RV mildly dilated, moderate dysfunction)"	dev stage=adult	age=73 year	donor ID=ENCDO804CLC								
SRX13008809	CTCF	Cardiovascular	Left ventricle	tissue=heart left ventricle	sample type=tissue	"health state=ischemic (EF 29% LVEDD 5.4; RV normal size, mild dysfunction)"	dev stage=adult	age=66 year	donor ID=ENCDO926KEV								
SRX13008810	CTCF	Cardiovascular	Left ventricle	tissue=heart left ventricle	sample type=tissue	"health state=ischemic (EF 29% LVEDD 5.4; RV normal size, mild dysfunction)"	dev stage=adult	age=66 year	donor ID=ENCDO926KEV								
SRX13009055	CTCF	Neural	Frontal cortex	tissue=middle frontal area 46	sample type=tissue	dev_stage=adult	age=85 year	donor ID=ENCDO080EZF									
SRX13009141	CTCF	Cardiovascular	Left ventricle	tissue=heart left ventricle	sample type=tissue	health state=PGD	dev stage=adult	age=56 year	donor ID=ENCDO907YUG								
SRX13009184	CTCF	Cardiovascular	Right ventricle	tissue=heart right ventricle	sample type=tissue	dev_stage=adult	age=59 year	donor ID=ENCDO856ZOJ	health state=DM: yes; HTN: yes; CAD: no								
SRX13009185	CTCF	Cardiovascular	Right ventricle	tissue=heart right ventricle	sample type=tissue	dev_stage=adult	age=59 year	donor ID=ENCDO856ZOJ	health state=DM: yes; HTN: yes; CAD: no								
SRX13009190	CTCF	Cardiovascular	Left ventricle	tissue=heart left ventricle	sample type=tissue	dev_stage=adult	age=61 year	donor ID=ENCDO808ASZ	"health state=nonischemic (EF 11% LVEDD 7.7; RV severe dilation, severe dysfunction)"								
SRX13009191	CTCF	Cardiovascular	Left ventricle	tissue=heart left ventricle	sample type=tissue	dev_stage=adult	age=61 year	donor ID=ENCDO808ASZ	"health state=nonischemic (EF 11% LVEDD 7.7; RV severe dilation, severe dysfunction)"								
SRX13009226	CTCF	Neural	Frontal cortex	sample_type=tissue	tissue=middle frontal area 46	dev stage=adult	age=90 or above year	donor ID=ENCDO634UMA									
SRX13009227	CTCF	Neural	Frontal cortex	sample_type=tissue	tissue=middle frontal area 46	dev stage=adult	age=90 or above year	donor ID=ENCDO634UMA									
SRX13183649	GATA1	Blood	CD34+	source_name=GATA1 - replicate1	tissue=Bone marrow	cell type=CD34 cells	transduction=GATA1										
SRX13183650	GATA1	Blood	CD34+	source_name=EKLF-GATA1 medium - replicate1	tissue=Bone marrow	cell type=CD34 cells	transduction=EKLF-GATA1 medium										
SRX13183651	GATA1	Blood	CD34+	source_name=EKLF-GATA1 long - replicate1	tissue=Bone marrow	cell type=CD34 cells	transduction=EKLF-GATA1 long										
SRX13183654	GATA1	Blood	CD34+	source_name=EKLF-GATA1 medium - replicate2	tissue=Bone marrow	cell type=CD34 cells	transduction=EKLF-GATA1 medium										
SRX13183655	GATA1	Blood	CD34+	source_name=EKLF-GATA1 long - replicate2	tissue=Bone marrow	cell type=CD34 cells	transduction=EKLF-GATA1 long										
SRX13183657	GATA1	Blood	CD34+	source_name=GATA1 - replicate3	tissue=Bone marrow	cell type=CD34 cells	transduction=GATA1										
SRX13183658	GATA1	Blood	CD34+	source_name=EKLF-GATA1 medium - replicate3	tissue=Bone marrow	cell type=CD34 cells	transduction=EKLF-GATA1 medium										
SRX13183659	GATA1	Blood	CD34+	source_name=EKLF-GATA1 long - replicate3	tissue=Bone marrow	cell type=CD34 cells	transduction=EKLF-GATA1 long										
SRX1318615	SIX2	Kidney	Kidney Cortex	source_name=human embryonic kidney cortex	developmental stage=17 weeks	strain=NA											
SRX1318617	SIX2	Kidney	Kidney Cortex	source_name=human embryonic kidney cortex	developmental stage=17 weeks	strain=NA											
SRX1318619	SIX1	Kidney	Kidney Cortex	source_name=human embryonic kidney cortex	developmental stage=16 weeks	strain=NA											
SRX1318620	SIX1	Kidney	Kidney Cortex	source_name=human embryonic kidney cortex	developmental stage=17 weeks	strain=NA											
SRX1322299	EBNA1	Blood	B cells	source_name=EBNA1 CHIP-seq in LCL	cell line=LCL	cell type=EBV positive B-cell											
SRX13234466	SPI1	Epidermis	Dermal fibroblast	source_name=adult human dermal fibroblast	cell line=HDFa	cell type=adult human dermal fibroblast	genotype=wildtype										
SRX13234467	IRF8	Epidermis	Dermal fibroblast	source_name=adult human dermal fibroblast	cell line=HDFa	cell type=adult human dermal fibroblast	genotype=wildtype										
SRX13234468	BATF3	Epidermis	Dermal fibroblast	source_name=adult human dermal fibroblast	cell line=HDFa	cell type=adult human dermal fibroblast	genotype=wildtype										
SRX13234469	SPI1	Epidermis	Dermal fibroblast	source_name=adult human dermal fibroblast	cell line=HDFa	cell type=adult human dermal fibroblast	genotype=wildtype										
SRX13234470	IRF8	Epidermis	Dermal fibroblast	source_name=adult human dermal fibroblast	cell line=HDFa	cell type=adult human dermal fibroblast	genotype=wildtype										
SRX13234471	BATF3	Epidermis	Dermal fibroblast	source_name=adult human dermal fibroblast	cell line=HDFa	cell type=adult human dermal fibroblast	genotype=wildtype										
SRX13262055	CIC	Neural	Astrocytes	source_name=Immortalized Astrocyte Cells	cell type=Astrocyte	"genotype=CIC-WT, IDH1-WT"											
SRX13273914	KDM1A	Cardiovascular	Cardiomyocytes	source_name=Cardiomyocytes	cell type=KDM1A KO rescued with Flag-KDM1A+2a	name in the manuscript=KDM1A KO+KDM1A+2a											
SRX13273917	KDM1A	Cardiovascular	Cardiomyocytes	source_name=Cardiomyocytes	cell type=KDM1A KO rescued with Flag-ubKDM1A	name in the manuscript=KDM1A KO+ubKDM1A											
SRX13273920	KDM1A	Cardiovascular	Cardiomyocytes	source_name=Cardiomyocytes	cell type=KDM1A KO rescued with Flag-ubKDM1A	name in the manuscript=KDM1A KO+ubKDM1A											
SRX13318152	LMNA	Others	Mesenchymal stem cells	source_name=MSC	cell type=MSC	cell source=PBMC derived	genotype=WT	disease state=healthy									
SRX13356476	SPI1	Epidermis	Dermal fibroblast	source_name=adult human dermal fibroblast	cell line=HDFa	cell type=adult human dermal fibroblast	genotype=wildtype										
SRX13356477	IRF8	Epidermis	Dermal fibroblast	source_name=adult human dermal fibroblast	cell line=HDFa	cell type=adult human dermal fibroblast	genotype=wildtype										
SRX13356478	BATF3	Epidermis	Dermal fibroblast	source_name=adult human dermal fibroblast	cell line=HDFa	cell type=adult human dermal fibroblast	genotype=wildtype										
SRX13551280	CTCF	Adipocyte	Adipose stem cells	source_name=subcutaneous abdominal ASC	cell type=hASCs	method=ChIP-seq											
SRX13551281	CTCF	Adipocyte	Adipose stem cells	source_name=subcutaneous gluteofemoral ASC	cell type=hASCs	method=ChIP-seq											
SRX13602612	GATA1	Blood	CD34+	source_name=CD34 Culture	phenotype=affected	disease state=ATR-X syndrome	cell type=Erythroid	crosslinking=two steps cross-linking									
SRX13602613	GATA1	Blood	CD34+	source_name=CD34 Culture	phenotype=affected	disease state=ATR-X syndrome	cell type=Erythroid	crosslinking=two steps cross-linking									
SRX13681293	ATRX	Blood	Lymphoblastoid cell line	source_name=human lymphoblastoid cell line	phenotype=unaffected	crosslinking=two steps cross-linking											
SRX13681294	ATRX	Blood	Lymphoblastoid cell line	source_name=human lymphoblastoid cell line	phenotype=unaffected	crosslinking=two steps cross-linking											
SRX13681295	ATRX	Blood	Lymphoblastoid cell line	source_name=human lymphoblastoid cell line	phenotype=unaffected	crosslinking=two steps cross-linking											
SRX13681296	ATRX	Blood	Lymphoblastoid cell line	source_name=human lymphoblastoid cell line	phenotype=unaffected	crosslinking=two steps cross-linking											
SRX13681297	ATRX	Blood	Lymphoblastoid cell line	source_name=human lymphoblastoid cell line	phenotype=unaffected	crosslinking=two steps cross-linking											
SRX13681298	ATRX	Blood	Lymphoblastoid cell line	source_name=human lymphoblastoid cell line	phenotype=unaffected	crosslinking=two steps cross-linking											
SRX13681305	RUNX3	Blood	Lymphoblastoid cell line	source_name=human lymphoblastoid cell line	phenotype=unaffected	crosslinking=two steps cross-linking											
SRX13681306	RUNX3	Blood	Lymphoblastoid cell line	source_name=human lymphoblastoid cell line	phenotype=unaffected	crosslinking=two steps cross-linking											
SRX13681307	RUNX3	Blood	Lymphoblastoid cell line	source_name=human lymphoblastoid cell line	phenotype=affected	crosslinking=two steps cross-linking											
SRX13681308	RUNX3	Blood	Lymphoblastoid cell line	source_name=human lymphoblastoid cell line	phenotype=affected	crosslinking=two steps cross-linking											
SRX1397389	SMAD1	Blood	CD34+	source_name=Erythrocyte precursors	cell type=mobilized peripheral blood CD34+ cells	time=hour 6 of differentiation	treatment=25ng/ml hrBMP4 for 2hrs before collection	purification target=SMAD1									
SRX1397390	GATA1	Blood	CD34+	source_name=Erythrocyte precursors	cell type=mobilized peripheral blood CD34+ cells	time=hour 6 of differentiation	treatment=25ng/ml hrBMP4 for 2hrs before collection	purification target=GATA1									
SRX1397391	GATA2	Blood	CD34+	source_name=Erythrocyte precursors	cell type=mobilized peripheral blood CD34+ cells	time=hour 6 of differentiation	treatment=25ng/ml hrBMP4 for 2hrs before collection	purification target=GATA2									
SRX1397395	SMAD1	Blood	CD34+	source_name=Erythrocyte precursors	cell type=mobilized peripheral blood CD34+ cells	time=day 3 of differentiation	treatment=25ng/ml hrBMP4 for 2hrs before collection	purification target=SMAD1									
SRX1397396	GATA1	Blood	CD34+	source_name=Erythrocyte precursors	cell type=mobilized peripheral blood CD34+ cells	time=day 3 of differentiation	treatment=25ng/ml hrBMP4 for 2hrs before collection	purification target=GATA1									
SRX1397397	GATA2	Blood	CD34+	source_name=Erythrocyte precursors	cell type=mobilized peripheral blood CD34+ cells	time=day 3 of differentiation	treatment=25ng/ml hrBMP4 for 2hrs before collection	purification target=GATA2									
SRX1397401	SMAD1	Blood	CD34+	source_name=Erythrocyte precursors	cell type=mobilized peripheral blood CD34+ cells	time=day 4 of differentiation	treatment=25ng/ml hrBMP4 for 2hrs before collection	purification target=SMAD1									
SRX1397402	GATA1	Blood	CD34+	source_name=Erythrocyte precursors	cell type=mobilized peripheral blood CD34+ cells	time=day 4 of differentiation	treatment=25ng/ml hrBMP4 for 2hrs before collection	purification target=GATA1									
SRX1397403	GATA2	Blood	CD34+	source_name=Erythrocyte precursors	cell type=mobilized peripheral blood CD34+ cells	time=day 4 of differentiation	treatment=25ng/ml hrBMP4 for 2hrs before collection	purification target=GATA2									
SRX1397407	GATA1	Blood	CD34+	source_name=Erythrocyte precursors	cell type=mobilized peripheral blood CD34+ cells	time=day 5 of differentiation	treatment=25ng/ml hrBMP4 for 2hrs before collection	purification target=GATA1									
SRX1397408	GATA2	Blood	CD34+	source_name=Erythrocyte precursors	cell type=mobilized peripheral blood CD34+ cells	time=day 5 of differentiation	treatment=25ng/ml hrBMP4 for 2hrs before collection	purification target=GATA2									
SRX1397412	SMAD1	Blood	CD34+	source_name=Erythrocyte precursors	cell type=mobilized peripheral blood CD34+ cells	time=day 5 of differentiation	treatment=25ng/ml hrBMP4 for 2hrs before collection	purification target=SMAD1									
SRX13994927	EP300	Kidney	rRenal tubular epithelial cells	source_name=human renal tubular epithelial cells	cell type=human renal tubular epithelial cells												
SRX1424891	POU3F2	Neural	Neural progenitor cells	source_name=NPS_before 2 wks of differentiation	cell type=Human neural progenitor cells (hNPC)	passages=10	time point=before 2 wks of differentiation										
SRX1424892	POU3F2	Neural	Neural progenitor cells	source_name=NPS_before 2 wks of differentiation	cell type=Human neural progenitor cells (hNPC)	passages=10	time point=before 2 wks of differentiation										
SRX1424893	POU3F2	Neural	Neural progenitor cells	source_name=NPS_after 2 wks of differentiation	cell type=Human neural progenitor cells (hNPC)	passages=10	time point=after 2 wks of differentiation										
SRX1424894	POU3F2	Neural	Neural progenitor cells	source_name=NPS_after 2 wks of differentiation	cell type=Human neural progenitor cells (hNPC)	passages=10	time point=after 2 wks of differentiation										
SRX1425809	CTCF	Blood	T cells	source_name=activated T-lymphocytes	cell type=T-lymphocyte	differentiation stage=Activated											
SRX14280059	LMNB1	Liver	Liver	source_name=Liver	tissue=liver	disease state=NAFLD											
SRX14280060	LMNB1	Liver	Liver	source_name=Liver	tissue=liver	disease state=NAFLD											
SRX14280085	FOXA2	Liver	Liver	source_name=Liver	tissue=liver	disease state=NAFLD											
SRX14280086	FOXA2	Liver	Liver	source_name=Liver	tissue=liver	disease state=NAFLD											
SRX14280090	LMNB1	Liver	Liver	source_name=Liver	tissue=liver	disease state=NAFLD											
SRX144520	NFE2L2	Blood	Lymphoblastoid cell line	source_name=NRF2 ChIP SFN treated	cell type=lymphoblastoid	cell line=GM11994											
SRX144521	NFE2L2	Blood	Lymphoblastoid cell line	source_name=NRF2 ChIP SFN treated	cell type=lymphoblastoid	"cell line=GM11992, GM12763"											
SRX144523	NFE2L2	Blood	Lymphoblastoid cell line	source_name=NRF2 ChIP SFN treated	cell type=lymphoblastoid	"cell line=GM07000, GM11882"											
SRX144524	NFE2L2	Blood	Lymphoblastoid cell line	source_name=NRF2 ChIP vehicle treated	cell type=lymphoblastoid	cell line=GM11994											
SRX144525	NFE2L2	Blood	Lymphoblastoid cell line	source_name=NRF2 ChIP vehicle treated	cell type=lymphoblastoid	"cell line=GM11992, GM12763"											
SRX144527	NFE2L2	Blood	Lymphoblastoid cell line	source_name=NRF2 ChIP vehicle treated	cell type=lymphoblastoid	"cell line=GM07000, GM11882"											
SRX1456193	EBF1	Blood	B cells	source_name=LCL cell line	cell line=LCL	cell type=EBV positive B-cells											
SRX1456195	RBPJ	Blood	B cells	source_name=LCL cell line	cell line=LCL	cell type=EBV positive B-cells											
SRX1460847	RELA	Blood	Th1 Cells	source_name=In vitro differentiated Th1 cells	cell type=Th1	"treatment/agent=PMA/ionomycin, DMSO"											
SRX1460848	RELA	Blood	Th1 Cells	source_name=In vitro differentiated Th1 cells	cell type=Th1	"treatment/agent=PMA/ionomycin, BAY 11-7082"											
SRX1460849	AFF4	Blood	Th1 Cells	source_name=In vitro differentiated Th1 cells	cell type=Th1	"treatment/agent=PMA/ionomycin, DMSO"											
SRX1460850	AFF4	Blood	Th1 Cells	source_name=In vitro differentiated Th1 cells	cell type=Th1	"treatment/agent=PMA/ionomycin, BAY 11-7082"											
SRX1460851	BRD4	Blood	Th1 Cells	source_name=In vitro differentiated Th1 cells	cell type=Th1	"treatment/agent=PMA/ionomycin, DMSO"											
SRX1460852	BRD4	Blood	Th1 Cells	source_name=In vitro differentiated Th1 cells	cell type=Th1	"treatment/agent=PMA/ionomycin, BAY 11-7082"											
SRX1460853	MED1	Blood	Th1 Cells	source_name=In vitro differentiated Th1 cells	cell type=Th1	"treatment/agent=PMA/ionomycin, DMSO"											
SRX1460854	MED1	Blood	Th1 Cells	source_name=In vitro differentiated Th1 cells	cell type=Th1	"treatment/agent=PMA/ionomycin, BAY 11-7082"											
SRX1477664	MED12	Blood	CD34 Hematopoietic stem cells	source_name=human CD34+	cell type=hematopoietis stem and progenitor cells	culture=6 days expanded											
SRX1477665	MED12	Blood	CD34 Hematopoietic stem cells	source_name=human CD34+	cell type=hematopoietis stem and progenitor cells	culture=6 days expanded											
SRX1477666	MED12	Blood	CD34 Hematopoietic stem cells	source_name=human CD34+	cell type=hematopoietis stem and progenitor cells	culture=6 days expanded											
SRX1478537	EP300	Kidney	Kidney Cortex	source_name=Human kidney ChIP P300-16wk	genotype=wild type	tissue=renal cortex	age=16 weeks 2 days	Stage=Fetal 17wk	pooled sample=no								
SRX1478538	SIX1	Kidney	Kidney Cortex	source_name=Human kidney ChIP SIX1-16wk	genotype=wild type	tissue=renal cortex	age=16 weeks 2 days	Stage=Fetal 17wk	pooled sample=no								
SRX1478539	SIX1	Kidney	Kidney Cortex	source_name=Human kidney ChIP SIX1-17wk sample #2	genotype=wild type	tissue=renal cortex	age=17 weeks 3 days	Stage=Fetal 18wk	pooled sample=no								
SRX1478540	SIX1	Kidney	Kidney Cortex	source_name=Human kidney ChIP SIX1-17wk sample #1	genotype=wild type	tissue=renal cortex	age=17 weeks 2 days	Stage=Fetal 18wk	pooled sample=no								
SRX1478541	SIX2	Kidney	Kidney Cortex	source_name=Human kidney ChIP SIX2-16wk	genotype=wild type	tissue=renal cortex	age=16 weeks 2 days	Stage=Fetal 17wk	pooled sample=no								
SRX1478542	SIX2	Kidney	Kidney Cortex	source_name=Human kidney ChIP SIX2-17wk sample #2	genotype=wild type	tissue=renal cortex	age=17 weeks 3 days	Stage=Fetal 18wk	pooled sample=no								
SRX1478543	SIX2	Kidney	Kidney Cortex	source_name=Human kidney ChIP SIX2-17wk sample #1	genotype=wild type	tissue=renal cortex	age=17 weeks 2 days	Stage=Fetal 18wk	pooled sample=no								
SRX1478544	SIX2	Kidney	Kidney Cortex	source_name=Human kidney ChIP w/SIX2 specific antibody-17wk sample #1	genotype=wild type	tissue=renal cortex	age=17 weeks 2 days	Stage=Fetal 18wk	pooled sample=no								
SRX14812503	TP53	Breast	Mammary epithelial cells	source_name=Mammary Epithelial Cells	cell type=Mammary Epithelial Cells	genotype=wild type	strain=Normal Human Mammary Epithelial Cells CC-2551	treatment condition=activated p53									
SRX14853139	ESR1	Uterus	Uterine epithelial cells	source_name=uterine epithelial cells	sample source=donor1	sample type=organoid culture	treament=E2+MPA										
SRX14853140	PGR	Uterus	Uterine epithelial cells	source_name=uterine epithelial cells	sample source=donor1	sample type=organoid culture	treament=E2+MPA										
SRX14853141	ESR1	Uterus	Uterine epithelial cells	source_name=uterine epithelial cells	sample source=donor2	sample type=organoid culture	treament=E2+MPA										
SRX14853142	PGR	Uterus	Uterine epithelial cells	source_name=uterine epithelial cells	sample source=donor2	sample type=organoid culture	treament=E2+MPA										
SRX15003482	HNRNPA2B1	Adipocyte	Adipose-derived stem cells	source_name=GF (gluteofemoral) adipose tissue	tissue=GF (gluteofemoral) adipose tissue	cell line=hASCs	cell type=human adipose derived stem cells	treatment=none									
SRX15003483	HNRNPA2B1	Adipocyte	Adipose-derived stem cells	source_name=GF (gluteofemoral) adipose tissue	tissue=GF (gluteofemoral) adipose tissue	cell line=hASCs	cell type=human adipose derived stem cells	treatment=none									
SRX15003484	HNRNPA2B1	Adipocyte	Adipose-derived stem cells	source_name=GF (gluteofemoral) adipose tissue	tissue=GF (gluteofemoral) adipose tissue	cell line=hASCs	cell type=human adipose derived stem cells	treatment=none									
SRX15003485	HNRNPA2B1	Adipocyte	Adipose-derived stem cells	source_name=GF (gluteofemoral) adipose tissue	tissue=GF (gluteofemoral) adipose tissue	cell line=hASCs	cell type=human adipose derived stem cells	treatment=none									
SRX15036323	GATA3	Blood	CD4+ T cells	source_name=Myla CD4+	cell line=Myla CD4+	cell type=cutaneous T lymphocyte											
SRX151229	SMC1A	Blood	Lymphoblastoid cells	source_name=Lymphoblastoid cells	cell type=HLS554P												
SRX151230	NIPBL	Blood	Lymphoblastoid cells	source_name=Lymphoblastoid cells	cell type=HLS554P												
SRX1547998	TP53	Epidermis	Dermal fibroblast	"source_name=foreskin HDF, Nutlin, IP"	cell line=foreskin HDF	passage=p4	treatment=Nutlin-3a 10 μM										
SRX15600232	AHR	Liver	Hepatocytes	source_name=liver	tissue=liver	cell type=hepatocytes	treatment=vehicle control (0.1% DMSO) for 24h										
SRX15600233	AHR	Liver	Hepatocytes	source_name=liver	tissue=liver	cell type=hepatocytes	treatment=1nM TCDD for 24h										
SRX15891788	TP63	Others	Limbal stem cells	source_name=LSC_aberdam	cell line=LSC_aberdam	cell type=Limbal stem cells											
SRX160843	GATA1	Blood	CD34+	source_name=Human primary fetal proerythroblasts (ProEs)	tissue=CD34+ HSPC-derived proerythroblasts	developmental stage=2-trimester fetal liver											
SRX160844	GATA1	Blood	CD34+	source_name=Human primary adult proerythroblasts (ProEs)	tissue=CD34+ HSPC-derived proerythroblasts	developmental stage=adult bone marrow											
SRX160847	IRF2	Blood	CD34+	source_name=Human primary adult proerythroblasts (ProEs)	tissue=CD34+ HSPC-derived proerythroblasts	developmental stage=adult bone marrow											
SRX1614803	ZNF366	Blood	Dendritic Cells	source_name=monocyte-derived dendritic cells	cell type=monocyte-derived dendritic cells	treatment=R848	treatment time=1h										
SRX1614804	ZNF366	Blood	Dendritic Cells	source_name=monocyte-derived dendritic cells	cell type=monocyte-derived dendritic cells	treatment=R848	treatment time=24h										
SRX1614806	ZNF366	Blood	Dendritic Cells	source_name=monocyte-derived dendritic cells	cell type=monocyte-derived dendritic cells	treatment=R848	treatment time=1h										
SRX1614807	ZNF366	Blood	Dendritic Cells	source_name=monocyte-derived dendritic cells	cell type=monocyte-derived dendritic cells	treatment=R848	treatment time=24h										
SRX1614809	ZNF366	Blood	Dendritic Cells	source_name=monocyte-derived dendritic cells	cell type=monocyte-derived dendritic cells	treatment=R848	treatment time=1h										
SRX1614810	ZNF366	Blood	Dendritic Cells	source_name=monocyte-derived dendritic cells	cell type=monocyte-derived dendritic cells	treatment=R848	treatment time=24h										
SRX16495439	CTCF	Blood	B cells	age=22 year	sample type=primary cell	cell type=B cell	dev stage=adult	donor ID=ENCDO383AQS									
SRX16495440	CTCF	Blood	B cells	age=22 year	sample type=primary cell	cell type=B cell	dev stage=adult	donor ID=ENCDO383AQS									
SRX16495441	CTCF	Blood	B cells	age=22 year	sample type=primary cell	cell type=B cell	dev stage=adult	donor ID=ENCDO383AQS									
SRX16495588	CTCF	Cardiovascular	Right ventricle	age=55 year	sample type=tissue	tissue=heart right ventricle	"health state=ischemic (EF 25% LVEDD 6.9; RV normal size, moderate dysfunction)"	dev stage=adult	donor ID=ENCDO439CAZ								
SRX16495589	CTCF	Cardiovascular	Right ventricle	age=55 year	sample type=tissue	tissue=heart right ventricle	"health state=ischemic (EF 25% LVEDD 6.9; RV normal size, moderate dysfunction)"	dev stage=adult	donor ID=ENCDO439CAZ								
SRX16498460	CTCF	Lung	Lung	age=60 year	sample type=tissue	tissue=upper lobe of right lung	health state=DM: no; HTN: yes; CAD: no; lungs with severe emphysema	dev stage=adult	donor ID=ENCDO520EJG								
SRX16498461	CTCF	Lung	Lung	age=60 year	sample type=tissue	tissue=upper lobe of right lung	health state=DM: no; HTN: yes; CAD: no; lungs with severe emphysema	dev stage=adult	donor ID=ENCDO520EJG								
SRX16499811	CTCF	Neural	Frontal cortex	age=89 year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO843TIL									
SRX16499828	CTCF	Neural	Brain	sample type=organoid	tissue=brain	dev stage=adult	age=53 year	donor ID=ENCDO336AAA									
SRX16499925	CTCF	Cardiovascular	Left ventricle	tissue=heart left ventricle	sample type=tissue	dev_stage=adult	age=55 year	donor ID=ENCDO439CAZ	"health state=ischemic (EF 25% LVEDD 6.9; RV normal size, moderate dysfunction)"								
SRX16499926	CTCF	Cardiovascular	Left ventricle	tissue=heart left ventricle	sample type=tissue	dev_stage=adult	age=55 year	donor ID=ENCDO439CAZ	"health state=ischemic (EF 25% LVEDD 6.9; RV normal size, moderate dysfunction)"								
SRX16499974	CTCF	Liver	Liver	age=41 year	sample type=tissue	tissue=right lobe of liver	health state=DM: no; HTN: no; CAD: no	dev stage=adult	donor ID=ENCDO575WHY								
SRX16499975	CTCF	Liver	Liver	age=41 year	sample type=tissue	tissue=right lobe of liver	health state=DM: no; HTN: no; CAD: no	dev stage=adult	donor ID=ENCDO575WHY								
SRX16500059	CTCF	Neural	Neural progenitor cells	sample type=in vitro differentiated cells	health state=healthy	dev stage=embryonic	age=5 day	donor ID=ENCDO222AAA	cell type=neural progenitor cell								
SRX16500060	CTCF	Neural	Neural progenitor cells	sample type=in vitro differentiated cells	health state=healthy	dev stage=embryonic	age=5 day	donor ID=ENCDO222AAA	cell type=neural progenitor cell								
SRX16500061	CTCF	Neural	Neural progenitor cells	biosample type=in vitro differentiated cells	health state=healthy	dev_stage=embryonic	age=5 day	donor ID=ENCDO222AAA	cell type=neural progenitor cell								
SRX16500062	CTCF	Neural	Neural progenitor cells	biosample type=in vitro differentiated cells	health state=healthy	dev_stage=embryonic	age=5 day	donor ID=ENCDO222AAA	cell type=neural progenitor cell								
SRX16500149	CTCF	Lung	Lung	age=60 year	sample type=tissue	tissue=lower lobe of right lung	health state=DM: no; HTN: yes; CAD: no; lungs with severe emphysema	dev stage=adult	donor ID=ENCDO520EJG								
SRX16500150	CTCF	Lung	Lung	age=60 year	sample type=tissue	tissue=lower lobe of right lung	health state=DM: no; HTN: yes; CAD: no; lungs with severe emphysema	dev stage=adult	donor ID=ENCDO520EJG								
