DRX044425	CTCF	Blood	T cells	sample_name=003_ED_ChIP_CTCF_1	cell_line=ED cells	cell_type=T cell	replicate=biological replicate 1
DRX044426	CTCF	Blood	T cells	sample_name=004_ED_ChIP_CTCF_2	cell_line=ED cells	cell_type=T cell	replicate=biological replicate 2										
SRX1548206	E2F1	Cardiovascular	Wharton Jelly	source_name=umbilical cord wharton's jelly	number of cells=8 million	cell type=Mesenchymal stem cells	agasga=SGA										
SRX1548207	E2F1	Cardiovascular	Wharton Jelly	source_name=umbilical cord wharton's jelly	number of cells=8 million	cell type=Mesenchymal stem cells	agasga=AGA										
SRX1548208	E2F1	Cardiovascular	Wharton Jelly	source_name=umbilical cord wharton's jelly	number of cells=8 million	cell type=Mesenchymal stem cells	agasga=AGA										
SRX1548209	E2F1	Cardiovascular	Wharton Jelly	source_name=umbilical cord wharton's jelly	number of cells=8 million	cell type=Mesenchymal stem cells	agasga=AGA										
SRX15710546	CTCF	Blood	B cells	source_name=ChIPseq_Bcell_CTCF	treatment=NT	cell line/type=Bcell											
SRX15710548	MAU2	Blood	B cells	source_name=ChIPseq_Bcell_Mau2	treatment=NT	cell line/type=Bcell											
SRX15710549	RAD21	Blood	B cells	source_name=ChIPseq_Bcell_Rad21	treatment=NT	cell line/type=Bcell											
SRX15710550	MAU2	Others	Fibroblasts	source_name=ChIPseq_Fibroblast_Mau2	treatment=NT	cell line/type=Fibroblast											
SRX15710551	MAU2	Others	Fibroblasts	source_name=ChIPseq_Fibroblast_Mau2	treatment=NT	cell line/type=Fibroblast											
SRX15710552	NIPBL	Others	Fibroblasts	source_name=ChIPseq_Fibroblast_NIPBL	treatment=NT	cell line/type=Fibroblast											
SRX15710553	RAD21	Others	Fibroblasts	source_name=ChIPseq_Fibroblast_Rad21	treatment=NT	cell line/type=Fibroblast											
SRX15710554	STAG1	Others	Fibroblasts	source_name=ChIPseq_Fibroblast_SA1	treatment=NT	cell line/type=Fibroblast											
SRX15710555	STAG1	Others	Fibroblasts	source_name=ChIPseq_Fibroblast_SA1	treatment=NT	cell line/type=Fibroblast											
SRX15710556	STAG2	Others	Fibroblasts	source_name=ChIPseq_Fibroblast_SA2	treatment=NT	cell line/type=Fibroblast											
SRX15710557	STAG2	Others	Fibroblasts	source_name=ChIPseq_Fibroblast_SA2	treatment=NT	cell line/type=Fibroblast											
SRX15710558	STAG2	Others	Fibroblasts	source_name=ChIPseq_Fibroblast_SA2	treatment=NT	cell line/type=Fibroblast											
SRX15710559	STAG2	Others	Fibroblasts	source_name=ChIPseq_Fibroblast_SA2	treatment=NT	cell line/type=Fibroblast											
SRX15717771	HNF4A	Pancreas	Pancreatic islets	source_name=Human islets	cell type=Primary human islets	treatment=untreated											
SRX15717773	HNF1A	Pancreas	Pancreatic islets	source_name=Human islets	cell type=Primary human islets	treatment=untreated											
SRX15891789	TP63	Others	Limbal stem cells	source_name=LSC_aberdam	cell line=LSC_aberdam	cell type=Limbal stem cells											
SRX1603678	TP63	Epidermis	Differentiated keratinocytes	source_name=DK	cell type=Differentiated Keratinocytes	chip antibody lot number=C1512											
SRX1614802	ZNF366	Blood	Dendritic Cells	source_name=monocyte-derived dendritic cells	cell type=monocyte-derived dendritic cells	treatment=none	treatment time=0h										
SRX1614805	ZNF366	Blood	Dendritic Cells	source_name=monocyte-derived dendritic cells	cell type=monocyte-derived dendritic cells	treatment=none	treatment time=0h										
SRX1614808	ZNF366	Blood	Dendritic Cells	source_name=monocyte-derived dendritic cells	cell type=monocyte-derived dendritic cells	treatment=none	treatment time=0h										
SRX1614811	ZNF366	Blood	Dendritic Cells	source_name=monocyte-derived dendritic cells	cell type=monocyte-derived dendritic cells	treatment=none	treatment time=0h										
SRX1629831	OVOL2	Others	"Epithelium, Corneal"	source_name=primary corneal epithelium cell	cell type=corneal epithelium cell												
SRX16495311	CTCF	Liver	Liver	age=47 year	sample type=tissue	tissue=right lobe of liver	health state=DM: no; HTN: yes; CAD: no	dev stage=adult	donor ID=ENCDO912EIY								
SRX16495312	CTCF	Liver	Liver	age=47 year	sample type=tissue	tissue=right lobe of liver	health state=DM: no; HTN: yes; CAD: no	dev stage=adult	donor ID=ENCDO912EIY								
SRX16495370	CTCF	Digestive tract	Colonic mucosa	sample_type=tissue	tissue=mucosa of descending colon	dev stage=adult	age=40 year	donor ID=ENCDO392CRK	health state=DM: no; HTN: yes; CAD: no								
SRX16495371	CTCF	Digestive tract	Colonic mucosa	sample_type=tissue	tissue=mucosa of descending colon	dev stage=adult	age=40 year	donor ID=ENCDO392CRK	health state=DM: no; HTN: yes; CAD: no								
SRX16495423	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO877NVF									
SRX16495424	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO877NVF									
SRX16495545	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO218FFZ									
SRX16495546	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO218FFZ									
SRX16495547	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO218FFZ									
SRX16495548	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO218FFZ									
SRX16495581	CTCF	Blood	B cells	age=22 year	sample type=primary cell	cell type=activated B cell	dev stage=adult	donor ID=ENCDO383AQS									
SRX16495582	CTCF	Blood	B cells	age=22 year	sample type=primary cell	cell type=activated B cell	dev stage=adult	donor ID=ENCDO383AQS									
SRX16495583	CTCF	Blood	B cells	age=22 year	sample type=primary cell	cell type=activated B cell	dev stage=adult	donor ID=ENCDO383AQS									
SRX16495661	CTCF	Blood	CD8+ T cells	age=21 year	sample type=primary cell	"cell type=CD8-positive, alpha-beta T cell"	dev stage=adult	donor ID=ENCDO781BMZ									
SRX16495662	CTCF	Blood	CD8+ T cells	age=21 year	sample type=primary cell	"cell type=CD8-positive, alpha-beta T cell"	dev stage=adult	donor ID=ENCDO781BMZ									
SRX16495663	CTCF	Blood	CD8+ T cells	age=21 year	sample type=primary cell	"cell type=CD8-positive, alpha-beta T cell"	dev stage=adult	donor ID=ENCDO781BMZ									
SRX16495697	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO470GFA									
SRX16495698	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO470GFA									
SRX16495699	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO470GFA									
SRX16495700	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO470GFA									
SRX16495715	CTCF	Gonad	Ovary	age=41 year	sample type=tissue	tissue=ovary	health state=DM: no; HTN: no; CAD: no	dev stage=adult	donor ID=ENCDO575WHY								
SRX16495716	CTCF	Gonad	Ovary	age=41 year	sample type=tissue	tissue=ovary	health state=DM: no; HTN: no; CAD: no	dev stage=adult	donor ID=ENCDO575WHY								
SRX16495761	CTCF	Blood	CD8+ T cells	age=21 year	sample type=primary cell	"cell type=activated CD8-positive, alpha-beta T cell"	dev stage=adult	donor ID=ENCDO781BMZ									
SRX16495762	CTCF	Blood	CD8+ T cells	age=21 year	sample type=primary cell	"cell type=activated CD8-positive, alpha-beta T cell"	dev stage=adult	donor ID=ENCDO781BMZ									
SRX16495800	CTCF	Neural	Frontal cortex	age=79 year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO609ZOG									
SRX16495801	CTCF	Neural	Frontal cortex	tissue=middle frontal area 46	sample type=tissue	dev_stage=adult	age=79 year	donor ID=ENCDO609ZOG									
SRX16495802	CTCF	Neural	Frontal cortex	tissue=middle frontal area 46	sample type=tissue	dev_stage=adult	age=79 year	donor ID=ENCDO609ZOG									
SRX16495803	CTCF	Neural	Frontal cortex	age=79 year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO609ZOG									
SRX16497620	CTCF	Neural	Frontal cortex	age=89 year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO853VGZ									
SRX16497621	CTCF	Neural	Frontal cortex	age=89 year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO853VGZ									
SRX16497626	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO258GJF									
SRX16497627	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO258GJF									
SRX16497666	CTCF	Neural	Frontal cortex	age=83 year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO736YJH									
SRX16497667	CTCF	Neural	Frontal cortex	age=83 year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO736YJH									
SRX16498392	CTCF	Muscle	Psoas Muscles	age=41 year	sample type=tissue	tissue=psoas muscle	health state=DM: no; HTN: no; CAD: no	dev stage=adult	donor ID=ENCDO575WHY								
SRX16498393	CTCF	Muscle	Psoas Muscles	age=41 year	sample type=tissue	tissue=psoas muscle	health state=DM: no; HTN: no; CAD: no	dev stage=adult	donor ID=ENCDO575WHY								
SRX16498416	CTCF	Digestive tract	Colonic mucosa	tissue=colonic mucosa	sample type=tissue	dev_stage=adult	age=41 year	donor ID=ENCDO575WHY	health state=DM: no; HTN: no; CAD: no								
SRX16498417	CTCF	Digestive tract	Colonic mucosa	tissue=colonic mucosa	sample type=tissue	dev_stage=adult	age=41 year	donor ID=ENCDO575WHY	health state=DM: no; HTN: no; CAD: no								
SRX16498443	CTCF	Blood	Monocytes-CD14+	age=30 year	sample type=primary cell	cell type=CD14-positive monocyte	dev stage=adult	donor ID=ENCDO544CHQ									
SRX16498444	CTCF	Blood	Monocytes-CD14+	age=30 year	sample type=primary cell	cell type=CD14-positive monocyte	dev stage=adult	donor ID=ENCDO544CHQ									
SRX16498445	CTCF	Blood	Monocytes-CD14+	age=30 year	sample type=primary cell	cell type=CD14-positive monocyte	dev stage=adult	donor ID=ENCDO544CHQ									
SRX16499682	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO223NTQ									
SRX16499683	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO223NTQ									
SRX16499729	CTCF	Blood	CD4+ T cells	age=20 year	sample type=primary cell	"cell type=activated CD4-positive, alpha-beta T cell"	dev stage=adult	donor ID=ENCDO394DKX									
SRX16499730	CTCF	Blood	CD4+ T cells	age=20 year	sample type=primary cell	"cell type=activated CD4-positive, alpha-beta T cell"	dev stage=adult	donor ID=ENCDO394DKX									
SRX16499731	CTCF	Blood	CD4+ T cells	age=20 year	sample type=primary cell	"cell type=activated CD4-positive, alpha-beta T cell"	dev stage=adult	donor ID=ENCDO394DKX									
SRX16499812	CTCF	Neural	Frontal cortex	age=89 year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO843TIL									
SRX16499853	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO730UYW									
SRX16499854	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO730UYW									
SRX16499913	CTCF	Neural	Frontal cortex	age=82 year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO290OPS									
SRX16499914	CTCF	Neural	Frontal cortex	age=82 year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO290OPS									
SRX16499968	CTCF	Liver	Liver	age=16 year	sample type=tissue	tissue=right lobe of liver	health state=DM: no; HTN: no; CAD: no	dev stage=child	donor ID=ENCDO575EGL								
SRX16499969	CTCF	Liver	Liver	age=16 year	sample type=tissue	tissue=right lobe of liver	health state=DM: no; HTN: no; CAD: no	dev stage=child	donor ID=ENCDO575EGL								
SRX16500012	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO597SRH									
SRX16500013	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO597SRH									
SRX16500014	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO597SRH									
SRX16500015	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO597SRH									
SRX16500096	CTCF	Blood	Natural killer cells	age=33 year	sample type=primary cell	cell type=natural killer cell	dev stage=adult	donor ID=ENCDO195VEA									
SRX16500097	CTCF	Blood	Natural killer cells	age=33 year	sample type=primary cell	cell type=natural killer cell	dev stage=adult	donor ID=ENCDO195VEA									
SRX16500098	CTCF	Blood	Natural killer cells	age=33 year	sample type=primary cell	cell type=natural killer cell	dev stage=adult	donor ID=ENCDO195VEA									
SRX16500124	CTCF	Blood	CD4+ T cells	age=20 year	sample type=primary cell	"cell type=CD4-positive, alpha-beta T cell"	dev stage=adult	donor ID=ENCDO394DKX									
SRX16500125	CTCF	Blood	CD4+ T cells	age=20 year	sample type=primary cell	"cell type=CD4-positive, alpha-beta T cell"	dev stage=adult	donor ID=ENCDO394DKX									
SRX16500126	CTCF	Blood	CD4+ T cells	age=20 year	sample type=primary cell	"cell type=CD4-positive, alpha-beta T cell"	dev stage=adult	donor ID=ENCDO394DKX									
SRX16500175	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO197QVG									
SRX16500176	CTCF	Neural	Frontal cortex	age=90 or above year	sample type=tissue	tissue=middle frontal area 46	dev stage=adult	donor ID=ENCDO197QVG									
SRX16608127	NFYB	Blood	B cells	source_name=B cells	cell line=B cells	cell type=Normal											
SRX16608128	NFYB	Blood	B cells	source_name=B cells	cell line=B cells	cell type=Normal											
SRX1683031	CHD8	Neural	Brain	source_name=human brain (Brodmann 44)	tissue=brain (Brodmann 44)	disease state=non-diseased											
SRX170345	SMARCA4	Blood	CD4+	source_name=Blood	tissue=Blood	developmental stage=Adult	genotype/variation=wild type	cell type=CD4									
SRX170346	SMARCA4	Blood	Hematopoietic Stem Cells	source_name=Blood	tissue=Blood	developmental stage=Adult	genotype/variation=wild type	cell type=HSC									
SRX170347	EP300	Blood	Hematopoietic Stem Cells	source_name=Blood	tissue=Blood	developmental stage=Adult	genotype/variation=wild type	cell type=HSC									
SRX170348	SMARCA4	Blood	CD36+	source_name=Blood	tissue=Blood	developmental stage=Adult	genotype/variation=wild type	cell type=CD36									
SRX170349	EP300	Blood	CD36+	source_name=Blood	tissue=Blood	developmental stage=Adult	genotype/variation=wild type	cell type=CD36									
SRX170356	SMARCA4	Blood	B cells	source_name=Blood	tissue=Blood	developmental stage=Adult	genotype/variation=wild type	cell type=Bcell									
SRX1711343	INTS12	Lung	Bronchial epithelial cells	source_name=INTS12_ChIPseq_D195307	donor=195307	cell type=Human bronchial epithelial cells HBECs	passage=3										
SRX1711344	INTS12	Lung	Bronchial epithelial cells	source_name=INTS12_ChIPseq_D7F3158	donor=7F3158	cell type=Human bronchial epithelial cells HBECs	passage=3										
SRX17149149	ETV3	Blood	Monocytes	source_name=blood	individual=donorA	tissue=blood	cell type=Monocytes										
SRX17149150	ETV3	Blood	Monocytes	source_name=blood	individual=donorB	tissue=blood	cell type=Monocytes										
SRX17149151	ETV6	Blood	Monocytes	source_name=blood	individual=donorA	tissue=blood	cell type=Monocytes										
SRX17149152	ETV6	Blood	Monocytes	source_name=blood	individual=donorB	tissue=blood	cell type=Monocytes										
SRX1733648	ATF2	Blood	Macrophages	source_name=Peripheral blood monocyte-derived macrophages	treatment=IL10	replicate=Not applicable	library type=ATF2										
SRX1738529	CTCF	Blood	Hematopoietic Stem Cells	source_name=Human Stem and Progenitor Cell	cell type=HSPC	"antibody source=Active Motif, DMABT-H19813"											
SRX1738530	STAG1	Blood	Hematopoietic Stem Cells	source_name=Human Stem and Progenitor Cell	cell type=HSPC	"antibody source=Abcam, ab4457"											
SRX1738531	CTCF	Blood	Erythroid Cells	source_name=Erythroid Cell	cell type=Erythroid	"antibody source=Active Motif, DMABT-H19813"											
SRX1738532	STAG1	Blood	Erythroid Cells	source_name=Erythroid Cell	cell type=Erythroid	"antibody source=Abcam, ab4457"											
SRX1759184	ATF3	Epidermis	Dermal fibroblast	source_name=endogenus ATF3 ChIPSeq	tissue=abdomen skin	cell type=primary dermal fibroblasts	passage=4-6										
SRX1759186	ATF3	Epidermis	Dermal fibroblast	source_name=overexpressed ATF3 ChIPSeq	tissue=abdomen skin	cell type=primary dermal fibroblasts	passage=4-6										
SRX17658242	UBE2A	Muscle	Skeletal muscle	source_name=Skeletal muscle cell	"cell type=Primary Skeletal Muscle Cells, ATCC, PCS-950-010, adapted to 10% FBS in DMEM"	chip antibodies=anti-UBE2A polyclonal antibody(PA5-29940)	treatment=untreated										
SRX17658243	UBE2A	Muscle	Skeletal muscle	source_name=Skeletal muscle cell	"cell type=Primary Skeletal Muscle Cells, ATCC, PCS-950-010, adapted to 10% FBS in DMEM"	chip antibodies=anti-UBE2A polyclonal antibody(PA5-29940)	treatment=untreated										
SRX17812782	ZEB1	Neural	Dorsal lateral prefrontal cortex	source_name=DLPFC	disease state=control	cell type=NeuN	tissue=DLPFC	age=63									
SRX17812784	ZEB1	Neural	Dorsal lateral prefrontal cortex	source_name=DLPFC	disease state=control	cell type=NeuN	tissue=DLPFC	age=30									
SRX17812786	MEF2C	Neural	Dorsal lateral prefrontal cortex	source_name=DLPFC	disease state=control	cell type=Bulk	tissue=DLPFC	age=76									
SRX17812788	MEF2C	Neural	Dorsal lateral prefrontal cortex	source_name=DLPFC	disease state=control	cell type=Bulk	tissue=DLPFC	age=75									
SRX1781647	LMNA	Epidermis	Dermal fibroblast	source_name=primary dermal fibroblasts	passages=5-7	genotype=normal	cell type=Fibroblasts										
SRX1781651	LMNA	Epidermis	Dermal fibroblast	source_name=primary dermal fibroblasts	passages=5-7	genotype=normal	cell type=Fibroblasts										
SRX17966408	GATA1	Blood	Erythroblasts	source_name=Human erythroblasts	tissue=Adult peripheral blood	cell type=CD34+ derived erythroblasts	differentiation=Day 11	genotype=Scramble control									
SRX17966410	GATA1	Blood	Erythroblasts	source_name=Human erythroblasts	tissue=Adult peripheral blood	cell type=CD34+ derived erythroblasts	differentiation=Day 11	genotype=Scramble control									
SRX17966412	HIC2	Blood	Erythroblasts	source_name=Human erythroblasts	tissue=Adult peripheral blood	cell type=CD34+ derived erythroblasts	differentiation=Day 11	genotype=Scramble control									
SRX17966415	HIC2	Blood	Erythroblasts	source_name=Human erythroblasts	tissue=Adult peripheral blood	cell type=CD34+ derived erythroblasts	differentiation=Day 11	genotype=Let-7 KD									
SRX1799525	TRIM28	Blood	CD4+ T cells	source_name=CD4_REST_KAP1	tissue=peripheral blood	cell type=CD4+ T lymphocytes	culture condition=no treatment										
SRX18031708	YAP1	Lung	Bronchial epithelial cells	source_name=Human Bronchial Epithelial Cells													
SRX18031709	YAP1	Lung	Bronchial epithelial cells	source_name=Human Bronchial Epithelial Cells													
SRX18031710	TP63	Lung	Bronchial epithelial cells	source_name=Human Bronchial Epithelial Cells													
SRX18031879	KDM6A	Others	Bladder epithelial cells	source_name=BdEC	cell line=BdEC	cell type=Human Primary Bladder Epithelial Cells	treatment=Untreated										
SRX18297837	CBX4	Blood	Erythroblasts	source_name=Primary Erythroblasts derived from Adult perpheral blood CD34+ donor #3917	cell line=Primary Erythroblasts derived from Adult perpheral blood CD34+ donor #3917	cell type=Human erythroblasts	differeniation stage=Day 11	treatment=NA									
SRX18517800	NUP98	Epidermis	Keratinocytes	source_name=human keratinocytes	treatment=None	cell type=primary human neonatal keratinocytes	tissue=Foreskin										
SRX18517801	NUP98	Epidermis	Keratinocytes	source_name=human keratinocytes	treatment=None	cell type=primary human neonatal keratinocytes	tissue=Foreskin										
SRX18517813	HDAC1	Epidermis	Keratinocytes	source_name=human keratinocytes	treatment=None	cell type=primary human neonatal keratinocytes	tissue=Foreskin										
SRX18517814	HDAC1	Epidermis	Keratinocytes	source_name=human keratinocytes	treatment=None	cell type=primary human neonatal keratinocytes	tissue=Foreskin										
SRX18517821	NUP98	Epidermis	Keratinocytes	source_name=human keratinocytes	treatment=SAHA	cell type=primary human neonatal keratinocytes	tissue=Foreskin										
SRX18520343	KMT2D	Blood	B cells	source_name=tonsil	tissue=tonsil	cell line=not applicable	"cell type=GC B cells, centroblast"	genotype=nd	treatment=none								
SRX185893	BCL6	Blood	B cells	source_name=Germinal center B cells	cell type=Germinal center B cells												
SRX186666	EZH2	Blood	CD20+	source_name=CD20+_RO01794	datatype=ChipSeq	datatype description=Chromatin IP Sequencing	controlid=wgEncodeEH003132	"replicate=1,2"	cell sex=F	treatment=None	treatment description=No special treatment or protocol applies	control=std	control description=Standard input signal for most experiments.	controlid=CD20+_RO01794/None/Input/std			
SRX186670	CTCF	Blood	CD20+	source_name=CD20+	datatype=ChipSeq	datatype description=Chromatin IP Sequencing	controlid=wgEncodeEH003132	"replicate=1,3,2"	cell sex=F	treatment=None	treatment description=No special treatment or protocol applies	control=std	control description=Standard input signal for most experiments.	controlid=CD20+/None/Input/std			
SRX186704	CTCF	Blood	Monocytes-CD14+	source_name=Monocytes-CD14+_RO01746	datatype=ChipSeq	datatype description=Chromatin IP Sequencing	controlid=wgEncodeEH003130	"replicate=1,2"	cell sex=F	treatment=None	treatment description=No special treatment or protocol applies	control=std	control description=Standard input signal for most experiments.	controlid=Monocytes-CD14+_RO01746/None/Input/std			
SRX186710	EP300	Bone	Osteobl	source_name=Osteobl	datatype=ChipSeq	datatype description=Chromatin IP Sequencing	controlid=wgEncodeEH001056	"replicate=1,2"	cell sex=U	treatment=None	treatment description=No special treatment or protocol applies	control=std	control description=Standard input signal for most experiments.	controlid=Osteobl/None/Input/std			
SRX18672589	CTCF	Neural	Microglia	source_name=Microglia	cell line=C20	treatment=untreated											
SRX18672590	CTCF	Neural	Microglia	source_name=Microglia	cell line=C20	treatment=untreated											
SRX18672591	CTCF	Neural	Microglia	source_name=Microglia	cell line=C20	treatment=untreated											
SRX18768993	LMNA	Adipocyte	Adipose stem cells	source_name=Adipose	cell type=Human primary adipose stem cells	tissue=Adipose	time=Day 0	replicate=Rep1									
SRX18768994	LMNA	Adipocyte	Adipose stem cells	source_name=Adipose	cell type=Human primary adipose stem cells	tissue=Adipose	time=Day 0	replicate=Rep2									
SRX18768995	LMNA	Adipocyte	Adipose stem cells	source_name=Adipose	cell type=Human primary adipose stem cells	tissue=Adipose	time=Day 1	replicate=Rep1									
SRX18768996	LMNA	Adipocyte	Adipose stem cells	source_name=Adipose	cell type=Human primary adipose stem cells	tissue=Adipose	time=Day 1	replicate=Rep2									
SRX18768997	LMNA	Adipocyte	Adipose stem cells	source_name=Adipose	cell type=Human primary adipose stem cells	tissue=Adipose	time=Day 3	replicate=Rep1									
SRX18768998	LMNA	Adipocyte	Adipose stem cells	source_name=Adipose	cell type=Human primary adipose stem cells	tissue=Adipose	time=Day 3	replicate=Rep2									
SRX188958	CTCF	Pancreas	Pancreas	source_name=Pancreas_OC	datatype=ChipSeq	datatype description=Chromatin IP Sequencing	controlid=wgEncodeEH003454	"replicate=1,2"	controlid=wgEncodeEH003454	replicate=1							
SRX188959	CTCF	Lung	Lung	source_name=Lung_OC	datatype=ChipSeq	datatype description=Chromatin IP Sequencing	controlid=wgEncodeEH003453	"replicate=1,2"	controlid=wgEncodeEH003453	replicate=1							
SRX1901615	CHD7	Blood	CD34+	source_name=CD34+ cells	tissue=mobilized peripheral blood	cell type=CD34 positive cells											
SRX19123217	DAXX	Blood	B cells	source_name=Human B lymphocytes	cell line=Human B lymphocytes	disease state=healthy control											
SRX1920484	STAT5A	Blood	Memory T cells	source_name=HIV-1 latently-infected central memory T cells cultured from uninfected primary T cells	treatment=Untreated												
SRX19538279	TP53	Bone	Osteoblasts	source_name=Osteoblast	cell line=Osteoblast	cell type=Osteoblast	genotype=p53 WT/WT										
SRX19538280	TP53	Bone	Osteoblasts	source_name=Osteoblast	cell line=Osteoblast	cell type=Osteoblast	genotype=p53 WT/WT										
SRX1967776	CTCF	Epidermis	Keratinocytes	source_name=Primary Epidermal Keratinocyte - Differentiation Day 0	cell type=primary epidermal keratinocyte	differentiation state=Undifferentiated (Day 0)	individual=Donors not specified for single biological replicate experiments										
SRX1967777	CTCF	Epidermis	Keratinocytes	source_name=Primary Epidermal Keratinocyte - Differentiation Day 3	cell type=primary epidermal keratinocyte	differentiation state=Early Differentiation (Day 3)	individual=Donors not specified for single biological replicate experiments										
SRX1967778	CTCF	Epidermis	Keratinocytes	source_name=Primary Epidermal Keratinocyte - Differentiation Day 6	cell type=primary epidermal keratinocyte	differentiation state=Late differentiation (Day 6)	individual=Donors not specified for single biological replicate experiments										
SRX1967779	SMC1A	Epidermis	Keratinocytes	source_name=Primary Epidermal Keratinocyte - Differentiation Day 0	cell type=primary epidermal keratinocyte	differentiation state=Undifferentiated (Day 0)	individual=Donor1										
SRX1967780	SMC1A	Epidermis	Keratinocytes	source_name=Primary Epidermal Keratinocyte - Differentiation Day 3	cell type=primary epidermal keratinocyte	differentiation state=Early Differentiation (Day 3)	individual=Donor1										
SRX1967781	SMC1A	Epidermis	Keratinocytes	source_name=Primary Epidermal Keratinocyte - Differentiation Day 6	cell type=primary epidermal keratinocyte	differentiation state=Late differentiation (Day 6)	individual=Donor1										
SRX1967782	SMC1A	Epidermis	Keratinocytes	source_name=Primary Epidermal Keratinocyte - Differentiation Day 0	cell type=primary epidermal keratinocyte	differentiation state=Undifferentiated (Day 0)	individual=Donor2										
SRX1967783	SMC1A	Epidermis	Keratinocytes	source_name=Primary Epidermal Keratinocyte - Differentiation Day 3	cell type=primary epidermal keratinocyte	differentiation state=Early Differentiation (Day 3)	individual=Donor2										
SRX1967784	SMC1A	Epidermis	Keratinocytes	source_name=Primary Epidermal Keratinocyte - Differentiation Day 6	cell type=primary epidermal keratinocyte	differentiation state=Late differentiation (Day 6)	individual=Donor2										
SRX1967785	EHF	Epidermis	Keratinocytes	source_name=Primary Epidermal Keratinocyte - Differentiation Day 3	cell type=primary epidermal keratinocyte	differentiation state=Early Differentiation (Day 3)	individual=Donors not specified for single biological replicate experiments										
SRX1968072	BCL11B	Blood	Thymus	source_name=thymus	cell type=CD34+	replicate=1											
SRX1968074	BCL11B	Blood	Thymus	source_name=thymus	cell type=CD34-	replicate=1											
SRX1968076	BCL11B	Blood	Thymus	source_name=thymus	cell type=CD34+	replicate=2											
SRX1968078	BCL11B	Blood	Thymus	source_name=thymus	cell type=CD34-	replicate=2											
SRX198033	BRD4	Blood	CD4+ T cells	source_name=CD4+ T cells	cell type=CD4+ T cells	treatment=untreated											
SRX200046	LMNA	Epidermis	Forearm skin	"source_name=normal forearm skin biopsy, lamin ChIP"	disease status=normal	tissue=forearm skin biopsy	cell type=fibroblasts	gender=male	cell line=HGFDFN168	passage=16							
