Experiment,source_name,tissue,chip_antibody,Library Name,cell_type,cell_line,Individual,isolate,AGE,genotype,Experimental_Factor:_immunoprecipitate (exp),Developmental_stage,Organism_part,disease,sample_type,Experimental_Factor:_compound (exp),donor_id,metastatic_site,dev_stage,health_state,treatment,disease_stage,Source,Experimental_Factor:_dose (exp),disease_state,hbv_genotype,antibody,ChIP,chip_antibody_vendor,replicate,genotype/variation,agent,genotype/antibody,Sample_id,strain,cell_description,infection,controlid,datatype_description,datatype,treatment_description,vendor,tissue_type,read_name_barcode_proc_directive (run),antibody_antibodydescription,antibody_targetdescription,antibody_vendorid,antibody_vendorname,labexpid,Protocol_description,protocol,cell_lineage,cell_sex,replicate_description,bio_material,Development_stage,cell_karyotype,developmental_stage/tissue,tranduced_with,treated_with,Experimental_Factor:_genotype (exp),cell_organism,cell,chip_target,Experimental_Factor:_sex (exp),replication,target,Experimental_Factor:_cell_line (exp),chip-antibody,clinical_history,Experimental_Factor:_cell_type (exp),geographic_location_(country_and/or_sea),softwareversion,specimen_with_known_storage_state,treatment/condition,tumor_stage,tumour_stage,type,Experimental_Factor:_OrganismPart (exp),lab_description,actual_read_length (run),affectedstatus,Experimental_Factor:_KNOCK_DOWN (exp),tag,antibodies,catalog_number,chip_antibody_catalog,chip_antibody_provider,Experimental_Factor:_developmental_stage (exp)
SRX9670765,,pancreas; derived from metastatic site: liver,,SU86_86_Input,,SU.86.86,,,,,,,,,ChIPseq,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX9670781,,pancreas; derived from metastatic site: liver,,CAPAN1_H3K27Ac,,Capan-1,,,,,,,,,ChIPseq,,,,,,H3K27Ac antibody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX9221932,Primary Hepatocytes,,,,,,,,,,,,,,,,,,,,17 ß-estradiol (1 µM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc-543 (Santa Cruz\\, Ca\\, USA)",,,,,,,,,,,,,,,,,,,,
SRX9221933,Primary Hepatocytes,,,,,,,,,,,,,,,,,,,,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc-543 (Santa Cruz\\, Ca\\, USA)",,,,,,,,,,,,,,,,,,,,
SRX9221935,Liver Tissue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc-543 (Santa Cruz\\, Ca\\, USA)",,,,,,,,,,,,,,,,,,,,
SRX974429,Liver normal tissue,Liver normal,,,,,,,,,,,,,,,,,,,,,,,,,H3K4me3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX974430,Liver tumor tissue,Liver tumor,,,,,,,,,,,,,,,,,,,,,,,,,H3K4me3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX629399,,,,PB_H3K4me1,,,,,,,H3K4me1,Carnegie Stage 16-18,pancreatic bud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carnegie Stage 16-18
ERX629393,,,,PP_H3K27ac_rep1,In vitro-derived pancreatic progenitors,,,,,,H3K27ac,day 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day 12
ERX629400,,,,PP_H3K27ac_rep2,In vitro-derived pancreatic progenitors,,,,,,H3K27ac,day 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day 12
SRX974431,Liver normal tissue,Liver normal,,,,,,,,,,,,,,,,,,,,,,,,,H3K4me3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX974432,Liver tumor tissue,Liver tumor,,,,,,,,,,,,,,,,,,,,,,,,,H3K4me3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5386885,,liver,,Input-ChIP,,L02 cells,,ChIP input,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5057152,,liver,,B612,,,,B612,46,,,,,Minimal hepatitis,tissue sample,,,,,,not applicable,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5057151,,liver,,B191,,,,B191,55,,,,,Minimal hepatitis,tissue sample,,,,,,not applicable,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5057150,,liver,,B634,,,,B634,53,,,,,Minimal hepatitis,tissue sample,,,,,,not applicable,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5057149,,liver,,B360,,,,B360,40,,,,,Lobular hepatitis,tissue sample,,,,,,not applicable,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5057143,,liver,,B036,,,,B036,56,,,,,Lobular hepatitis,tissue sample,,,,,,not applicable,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4655781,HepG2,,"CTCF (Abcam\\, ab70303)",,liver hepatocellular carcinoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4655782,HepG2,,"CTCF (Abcam\\, ab70303)",,liver hepatocellular carcinoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4655783,HepG2,,"CTCF (Abcam\\, ab70303)",,liver hepatocellular carcinoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4655784,HepG2,,"CTCF (Abcam\\, ab70303)",,liver hepatocellular carcinoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4655785,HepG2,,"CTCF (Abcam\\, ab70303)",,liver hepatocellular carcinoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4655786,HepG2,,"CTCF (Abcam\\, ab70303)",,liver hepatocellular carcinoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4655787,HepG2,,"CTCF (Abcam\\, ab70303)",,liver hepatocellular carcinoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4655788,HepG2,,"CTCF (Abcam\\, ab70303)",,liver hepatocellular carcinoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX7182560,primary human HSCs,,"H3K4me2 (Millipore\\, 07-030)",,Hepatic stellate cells isolated from human liver,,,,,,,,,,,,,,,,,non-fibrotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX7182561,primary human HSCs,,"H3K4me2 (Millipore\\, 07-030)",,Hepatic stellate cells isolated from human liver,,,,,,,,,,,,,,,,,non-fibrotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX7182563,primary human HSCs,,H3K27ac (Active Motif 39133),,Hepatic stellate cells isolated from human liver,,,,,,,,,,,,,,,,,non-fibrotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX860899,Fetal_liver_H3K27ac,fetal liver,H3K27ac,,,,,,,,,12 weeks after gestation,,,,,,,,,,,,,,,,,active motif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX860900,Fetal_liver_H3K27ac,fetal liver,H3K27ac,,,,,,,,,12 weeks after gestation,,,,,,,,,,,,,,,,,active motif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX860901,Fetal_liver_H3K27me3_H3K4me3_Sequential,fetal liver,"H3K27me3 (CST\\, #9733),H3K4me3 (Abcam\\, ab8580)",,,,,,,,,12 weeks after gestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX860902,Fetal_liver_H3K27me3_H3K4me3_Sequential,fetal liver,"H3K27me3 (CST\\, #9733),H3K4me3 (Abcam\\, ab8580)",,,,,,,,,12 weeks after gestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX860903,Fetal_liver_H3K27me3,fetal liver,H3K27me3,,,,,,,,,12 weeks after gestation,,,,,,,,,,,,,,,,,CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX860904,Fetal_liver_H3K27me3,fetal liver,"H3K27me3 (CST\\, #9733)",,,,,,,,,12 weeks after gestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX860905,Fetal_liver_H3K4me1,fetal liver,H3K4me1,,,,,,,,,12 weeks after gestation,,,,,,,,,,,,,,,,,Abcam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX860906,Fetal_liver_H3K4me1,fetal liver,H3K4me1,,,,,,,,,12 weeks after gestation,,,,,,,,,,,,,,,,,Abcam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX860907,Fetal_liver_H3K4me3,fetal liver,H3K4me3,,,,,,,,,12 weeks after gestation,,,,,,,,,,,,,,,,,Abcam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX860908,Fetal_liver_H3K4me3,fetal liver,H3K4me3,,,,,,,,,12 weeks after gestation,,,,,,,,,,,,,,,,,Abcam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126852,HepG2-hNTCP,liver,,,,HepG2-hNTCP,,,,,,,,,,,,,,,,,,,,,none,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126853,HepG2-hNTCP,liver,,,,HepG2-hNTCP,,,,,,,,,,,,,,,,,,,,,none,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126854,HepG2-hNTCP,liver,,,,HepG2-hNTCP,,,,,,,,,,,,,,,,,,,,,ChIP for H3,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126855,HepG2-hNTCP,liver,,,,HepG2-hNTCP,,,,,,,,,,,,,,,,,,,,,ChIP for H3,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126856,HepG2-hNTCP,liver,,,,HepG2-hNTCP,,,,,,,,,,,,,,,,,,,,,ChIP for H3K4me3,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126857,HepG2-hNTCP,liver,,,,HepG2-hNTCP,,,,,,,,,,,,,,,,,,,,,ChIP for H3K4me3,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126858,HepG2-hNTCP,liver,,,,HepG2-hNTCP,,,,,,,,,,,,,,,,,,,,,ChIP for H3K9me3,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126859,HepG2-hNTCP,liver,,,,HepG2-hNTCP,,,,,,,,,,,,,,,,,,,,,ChIP for H3K9me3,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126860,HepG2-HBV1.1,liver,,,,HepG2-HBV1.1,,,,,,,,,,,,,,,,,,,,D,none,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126861,HepG2-HBV1.1,liver,,,,HepG2-HBV1.1,,,,,,,,,,,,,,,,,,,,D,none,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126862,HepG2-HBV1.1,liver,,,,HepG2-HBV1.1,,,,,,,,,,,,,,,,,,,,D,ChIP for H3,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126863,HepG2-HBV1.1,liver,,,,HepG2-HBV1.1,,,,,,,,,,,,,,,,,,,,D,ChIP for H3,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126864,HepG2-HBV1.1,liver,,,,HepG2-HBV1.1,,,,,,,,,,,,,,,,,,,,D,ChIP for H3K4me3,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126865,HepG2-HBV1.1,liver,,,,HepG2-HBV1.1,,,,,,,,,,,,,,,,,,,,D,ChIP for H3K4me3,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126866,HepG2-HBV1.1,liver,,,,HepG2-HBV1.1,,,,,,,,,,,,,,,,,,,,D,ChIP for H3K9me3,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126867,HepG2-HBV1.1,liver,,,,HepG2-HBV1.1,,,,,,,,,,,,,,,,,,,,D,ChIP for H3K9me3,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126868,Hep3B,liver,,,,Hep3B,,,,,,,,,,,,,,,,,,,,A,none,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126869,Hep3B,liver,,,,Hep3B,,,,,,,,,,,,,,,,,,,,A,none,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126870,Hep3B,liver,,,,Hep3B,,,,,,,,,,,,,,,,,,,,A,ChIP for H3,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126871,Hep3B,liver,,,,Hep3B,,,,,,,,,,,,,,,,,,,,A,ChIP for H3,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126872,Hep3B,liver,,,,Hep3B,,,,,,,,,,,,,,,,,,,,A,ChIP for H3K4me3,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126873,Hep3B,liver,,,,Hep3B,,,,,,,,,,,,,,,,,,,,A,ChIP for H3K4me3,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126874,Hep3B,liver,,,,Hep3B,,,,,,,,,,,,,,,,,,,,A,ChIP for H3K9me3,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126875,Hep3B,liver,,,,Hep3B,,,,,,,,,,,,,,,,,,,,A,ChIP for H3K9me3,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126876,PLC/PRF/5,liver,,,,PLC/PRF/5,,,,,,,,,,,,,,,,,,,,A,none,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126877,PLC/PRF/5,liver,,,,PLC/PRF/5,,,,,,,,,,,,,,,,,,,,A,none,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126878,PLC/PRF/5,liver,,,,PLC/PRF/5,,,,,,,,,,,,,,,,,,,,A,ChIP for H3,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126879,PLC/PRF/5,liver,,,,PLC/PRF/5,,,,,,,,,,,,,,,,,,,,A,ChIP for H3,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126880,PLC/PRF/5,liver,,,,PLC/PRF/5,,,,,,,,,,,,,,,,,,,,A,ChIP for H3K4me3,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126881,PLC/PRF/5,liver,,,,PLC/PRF/5,,,,,,,,,,,,,,,,,,,,A,ChIP for H3K4me3,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126882,PLC/PRF/5,liver,,,,PLC/PRF/5,,,,,,,,,,,,,,,,,,,,A,ChIP for H3K9me3,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5126883,PLC/PRF/5,liver,,,,PLC/PRF/5,,,,,,,,,,,,,,,,,,,,A,ChIP for H3K9me3,,,,,Hepatitis B virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX838191,Human liver carcinoma cell line,,,,,HepG2,,,,,,,,,,,,,,,,,,,,,p53 FL-393 antibody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX838192,Human liver carcinoma cell line,,,,,HepG2,,,,,,,,,,,,,,,,,,,,,p53 FL-393 antibody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX7030818,Human liver cancer cell-line HepG2,,"H3K27Ac antibody (Active motif\\, cat#\\, lot#10918010)",,,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX7030819,Human liver cancer cell-line HepG2,,"H3K27Ac antibody (Active motif\\, cat#\\, lot#10918010)",,,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX7030824,Human liver cancer cell-line HepG2,,,,,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5343527,CRC cell line,,rabbit anti-H3K27ac (Abcam #4729).,,,,,,,,,,,,liver metastasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5343528,CRC cell line,,rabbit anti-H3K27ac (Abcam #4729).,,,,,,,,,,,,liver metastasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5343529,CRC cell line,,rabbit anti-H3K27ac (Abcam #4729).,,,,,,,,,,,,liver metastasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5343530,CRC cell line,,rabbit anti-H3K27ac (Abcam #4729).,,,,,,,,,,,,liver metastasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5343531,CRC cell line,,rabbit anti-H3K27ac (Abcam #4729).,,,,,,,,,,,,liver metastasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5668340,HepG2,,H3K27ac,,,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5668341,HepG2,,H3K27me3,,,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5668342,HepG2,,H3K4me3,,,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5668343,HepG2,,H3K9ac,,,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5668344,HepG2,,H3K9me3,,,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5504465,HCC,,,,Liver cancer cell,Hep3B,,,,,,,,,,,,,,,,,,,,,,,,,vector control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5504466,HCC,,,,Liver cancer cell,Hep3B,,,,,,,,,,,,,,,,,,,,,,,,,vector control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5504467,HCC,,,,Liver cancer cell,Hep3B,,,,,,,,,,,,,,,,,,,,,,,,,FBP1 WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5504468,HCC,,,,Liver cancer cell,Hep3B,,,,,,,,,,,,,,,,,,,,,,,,,FBP1 S169A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5504469,HCC,,,,Liver cancer cell,Hep3B,,,,,,,,,,,,,,,,,,,,,,,,,vector control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5504470,HCC,,,,Liver cancer cell,Hep3B,,,,,,,,,,,,,,,,,,,,,,,,,FBP1 WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5504471,HCC,,,,Liver cancer cell,Hep3B,,,,,,,,,,,,,,,,,,,,,,,,,FBP1 S169A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5504473,HCC,,,,Liver cancer cell,Hep3B,,,,,,,,,,,,,,,,,,,,,,,,,vector control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5504474,HCC,,,,Liver cancer cell,Hep3B,,,,,,,,,,,,,,,,,,,,,,,,,FBP1 WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5504475,HCC,,,,Liver cancer cell,Hep3B,,,,,,,,,,,,,,,,,,,,,,,,,FBP1 S169A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5651540,WT human organoids,liver ductal organoids,,,,,,,,WT,,,,,,,human donor Donor1-D19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX5651541,WT human organoids,liver ductal organoids,,,,,,,,WT,,,,,,,human donor Donor4-D22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX2858133,liver cancer cell,,,,Hepatocellular carcinoma,Bel-7402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,
SRX2858134,liver cancer cell,,,,Hepatocellular carcinoma,Bel-7402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,
SRX2858135,liver cancer cell,,,,Hepatocellular carcinoma,Bel-7402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,
SRX2858136,liver cancer cell,,,,Hepatocellular carcinoma,Bel-7402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anti-TFCP2 (CST #80784),,,,
SRX2858137,liver cancer cell,,,,Hepatocellular carcinoma,Bel-7402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anti-TFCP2 (CST #80784),,,,
